,odds_ratio,ci_lower,ci_upper,p_valor
Intercept,0.27718006978566884,0.2530636502858144,0.3035947319957508,5.239511507169556e-168
C(country)[T.Brazil],0.5214912966301422,0.46328655918263917,0.587008552419014,4.169856941173837e-27
C(country)[T.Chile],0.7810314289278287,0.7035292170692482,0.867071442340685,3.5693677289857586e-06
C(country)[T.Colombia],1.0012230352875262,0.9048771905075095,1.1078272023059108,0.981109928708501
C(country)[T.Costa Rica],0.6629257271207543,0.5891692160498828,0.7459156176302538,8.426018205847096e-12
C(country)[T.Cuba],1.7686202890406633,1.467470501777676,2.131571110299687,2.1346476784447556e-09
C(country)[T.Dominican Republic],1.3670046565676666,1.204472790935945,1.551468613604459,1.29424076105426e-06
C(country)[T.Ecuador],1.390154644542891,1.2508144610214087,1.5450172635245019,9.78570566231294e-10
C(country)[T.El Salvador],0.7123343460613305,0.6098334310546749,0.8320636336729961,1.8750021670057765e-05
C(country)[T.Guatemala],0.8426918448692862,0.7246422919329936,0.9799725372292589,0.026236687267161697
C(country)[T.Honduras],0.9176301044473087,0.7610711173288089,1.106394644883346,0.3677804818982281
C(country)[T.Mexico],0.6310918122495983,0.5522048708469703,0.7212483926076317,1.4159469654177624e-11
C(country)[T.Nicaragua],1.7930358397176356,1.5192089101906403,2.1162181849687087,4.989851967834145e-12
C(country)[T.Panama],0.4147936045490098,0.30963671722117014,0.5556632169429191,3.660120623605137e-09
C(country)[T.Paraguay],0.10772771976444123,0.08920431464838238,0.13009753677712305,1.602802872119592e-118
C(country)[T.Peru],1.3028931454016206,1.170522399193097,1.4502332885767297,1.2960894608720465e-06
C(country)[T.Uruguay],0.7752823001791509,0.6578757031014602,0.9136416531838034,0.0023819162435229466
es_texto_grande[T.True],0.9031330837142514,0.8275813725442362,0.9855820756231612,0.022266991083227237
font_size_px,1.0108758912350453,1.0078779812605865,1.0138827184240697,9.447432891826035e-13
