text_color,bg_color,n,ratio_mediano,delta_e_mediano
"rgb(255, 255, 255)","rgb(255, 255, 255)",2379,1.0,0.0
"rgb(119, 119, 119)","rgb(255, 255, 255)",186,4.478089453577214,49.965561459968995
"rgb(159, 107, 107)","rgb(242, 242, 242)",172,3.916522419087455,50.16750176034317
"rgb(227, 59, 59)","rgb(255, 255, 255)",160,4.2382134969728416,89.37251333932464
"rgb(255, 255, 255)","rgb(237, 237, 237)",137,1.1707340158121988,6.251786956195351
"rgb(191, 172, 81)","rgb(255, 255, 255)",124,2.2739334049942124,57.031298049418204
"rgb(153, 153, 153)","rgb(255, 255, 255)",116,2.849027755287037,36.77740563350006
"rgb(0, 188, 212)","rgb(255, 255, 255)",87,2.296592665404234,48.78282809380059
"rgb(255, 255, 255)","rgb(242, 242, 242)",81,1.1194947432057414,4.506441492057183
"rgb(149, 149, 149)","rgb(255, 255, 255)",76,2.995346135708812,38.2988863803844
